"GCO_COMID";"GCO_DATVAL";"GCO_DESCR";"GCO_PROID";"GCO_CODCAT";"GCO_AUSLID";"GCO_PMPID";"GCO_CAP";"GCO_TRIBID";"GCO_ISTAT";"GCO_TERID";"GCO_DATFINE";"GCO_FLCAPO";"GCO_COMONID";"GCO_FONTE";"GCO_DATINS";"GCO_UTEINS";"GCO_DATAGG";"GCO_UTEAGG";"GCO_NAZIONE";"GCO_ANACOM"
1001;01/01/1950;"AGLIE'";"TO";"A074";0;;"10011";1125;1001;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1002;01/01/1950;"AIRASCA";"TO";"A109";0;;"10060";1191;1002;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1003;01/01/1950;"ALA DI STURA";"TO";"A117";0;;"10070";1272;1003;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1004;01/01/1950;"ALBIANO D'IVREA";"TO";"A157";0;;"10010";1125;1004;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1005;01/01/1950;"ALICE SUPERIORE";"TO";"A199";0;;"10010";1125;1005;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1006;01/01/1950;"ALMESE";"TO";"A218";0;;"10040";1272;1006;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1007;01/01/1950;"ALPETTE";"TO";"A221";0;;"10080";1125;1007;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1008;01/01/1950;"ALPIGNANO";"TO";"A222";0;;"10091";1272;1008;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1009;01/01/1950;"ANDEZENO";"TO";"A275";0;;"10020";1272;1009;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1010;01/01/1950;"ANDRATE";"TO";"A282";0;;"10010";1125;1010;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1011;01/01/1950;"ANGROGNA";"TO";"A295";0;;"10060";1191;1011;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1012;01/01/1950;"ARIGNANO";"TO";"A405";0;;"10020";1272;1012;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1013;01/01/1950;"AVIGLIANA";"TO";"A518";0;;"10051";1272;1013;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1014;01/01/1950;"AZEGLIO";"TO";"A525";0;;"10010";1125;1014;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1015;01/01/1950;"BAIRO";"TO";"A584";0;;"10010";1125;1015;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1016;01/01/1950;"BALANGERO";"TO";"A587";0;;"10070";1272;1016;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1017;01/01/1950;"BALDISSERO CANAVESE";"TO";"A590";0;;"10080";1125;1017;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1018;01/01/1950;"BALDISSERO TORINESE";"TO";"A591";0;;"10020";1272;1018;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1019;01/01/1950;"BALME";"TO";"A599";0;;"10070";1272;1019;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1020;01/01/1950;"BANCHETTE";"TO";"A607";0;;"10010";1125;1020;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1021;01/01/1950;"BARBANIA";"TO";"A625";0;;"10070";1272;1021;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1022;01/01/1950;"BARDONECCHIA";"TO";"A651";0;;"10052";1272;1022;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1023;01/01/1950;"BARONE CANAVESE";"TO";"A673";0;;"10010";1125;1023;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1024;01/01/1950;"BEINASCO";"TO";"A734";0;;"10092";1272;1024;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1025;01/01/1950;"BIBIANA";"TO";"A853";0;;"10060";1191;1025;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1026;01/01/1950;"BOBBIO PELLICE";"TO";"A910";0;;"10060";1191;1026;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1027;01/01/1950;"BOLLENGO";"TO";"A941";0;;"10012";1125;1027;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1028;01/01/1950;"BORGARO TORINESE";"TO";"A990";0;;"10071";1272;1028;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1029;01/01/1950;"BORGIALLO";"TO";"B003";0;;"10080";1125;1029;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1030;01/01/1950;"BORGOFRANCO D'IVREA";"TO";"B015";0;;"10013";1125;1030;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
1031;01/01/1950;"BORGOMASINO";"TO";"B021";0;;"10031";1125;1031;0;;;0;"99";06/06/1996;"BS2000";06/06/1996;"BS2000";;
